,Weight
CXCL1,16.964465836791028
IL1B,12.49082614975826
PIK3CD-AS2,12.14444807519286
SECTM1,11.319700619300063
AMN,11.237792684906928
ADGRE1,10.825894079853864
STC1,10.724991219924341
MIR127,9.385623213825077
MAP3K15,9.322457886626983
NANOGP8,7.66670968268281
APCDD1L-AS1,6.585492022404772
LINC01235,4.745438904436709
LOC100288162,4.417793922461275
CSF3,4.1309420227876705
C12orf56,4.034129244081695
LINC01219,4.029201596525754
ELF3,3.6014820822537867
CXCL11,3.433970103306236
ANKRD20A9P,3.375341747237668
MIR3170,3.239921954548597
HOTS,3.08911700923885
SLC2A14,2.6038197652332515
CHI3L2,2.550325992918027
IP6K3,2.4681784560729967
OSM,2.365845059406971
MAPK8IP1P2,2.281079713018987
CHRNA3,2.2481732085925366
LOC692247,2.110034049324173
FOXE3,2.0776899696256277
ACTG2,2.0546858353039443
ALLC,2.037889016546342
ABO,1.8724462551488503
LTF,1.7973054065068785
C11orf96,1.7250968766604409
MUC5B,1.5837020707921066
TBX3,1.550628844014005
LINC01108,1.5456175373163805
CCL8,1.543744571480371
LINC01879,1.5331581358767652
IGFALS,1.5141613011353743
ARAP3,1.5114898545313264
CD300E,1.4595229241682732
HP,1.4442171254854226
LINC00841,1.4148041550282933
CD163,1.385663544339966
MIR6723,1.3620606036874177
MIR6855,1.3117149819172393
SLAMF8,1.2562766502505214
PCK1,1.2257352256061298
SPATA31A5,1.1809148841023338
SPATA31A7,1.1809148841023338
SULT1B1,1.1600449166420579
IL21R,1.1595838038599326
CCL20,1.1553822910773224
C16orf47,1.146654949297702
MIR4528,1.118983324266426
LINC00417,1.0872023384861338
CASR,1.0804178953123904
CDC42BPG,1.0743565332843459
SLPI,1.0714085071438706
TFAP2A-AS2,1.0620213279807795
MYBPH,1.0611337652491477
RNF17,1.048201369858874
AQP7P1,1.046283417848469
NKX2-1-AS1,1.0438034695308092
LINC01471,1.0298788934965493
NUP210L,1.0218011754554734
FGFBP2,1.0172678873043546
COLEC11,1.016740476149312
LOC100506358,1.016570110384068
S100A9,1.0142084883488807
CARMN,1.0121436043295726
LOC101929719,1.0012763108155847
TREML2,0.9934645791064823
GOLGA6L17P,0.9927493162793088
LOC101928932,0.9828163581094467
STEAP4,0.9803058258739915
CD69,0.9728128119734186
CCDC197,0.9726896448148142
CSN1S1,0.971670592685583
NKX2-4,0.9673596617695808
LILRA3,0.9563290251591295
DLX4,0.9475773743026459
S100A8,0.9402221832848913
ETV4,0.9393692442216343
FPR2,0.9387364417797202
C19orf33,0.9380788350941487
NAPSB,0.9297490116729451
LARGE2,0.9289660849450356
LGALS13,0.921428382684101
KIAA0087,0.9204964159159598
CDHR4,0.9146975369179599
MAB21L2,0.9125043162362887
G0S2,0.9023040610171004
MGP,0.8972586806127341
LRRC14B,0.8918948043673756
GJA5,0.8904349534566864
MPZL2,0.8904218523469983
RRAD,0.8891661973311964
LGALS17A,0.8879538707814826
